Date,Q (ft3/s),  
4/22/1981,"3,400",  
4/23/1981,"5,100",  
4/24/1981,"5,900",  
4/25/1981,"5,600",  
4/26/1981,"5,900",  
4/27/1981,"7,400",  
4/28/1981,"8,700",  
4/29/1981,"9,300",  
4/30/1981,"9,400",  
5/1/1981,"9,600",  
5/2/1981,"8,400",  
5/3/1981,"8,400",  
5/4/1981,"8,000",  
5/5/1981,"7,800",  
5/6/1981,"7,600",  
5/7/1981,"7,900",  
5/8/1981,"8,300",  
5/9/1981,"9,000",  
5/10/1981,"9,700",  
5/11/1981,"9,900",  
5/12/1981,"9,700",  
5/13/1981,"11,000",  
5/14/1981,"15,000",  
5/15/1981,"21,000",  
5/16/1981,"25,000",  
5/17/1981,"30,000",  
5/18/1981,"35,000",  
5/19/1981,"38,000",  
5/20/1981,"39,000",  
5/21/1981,"37,000",  
5/22/1981,"34,000",  
5/23/1981,"30,000",  
5/24/1981,"24,000",  
5/25/1981,"18,000",  
5/26/1981,"17,000",  
5/27/1981,"20,000",  
5/28/1981,"22,000",  
5/29/1981,"25,000",  
5/30/1981,"25,000",  
5/31/1981,"28,000",  
6/1/1981,"31,000",  
6/2/1981,"32,000",  
6/3/1981,"35,000",  
6/4/1981,"40,000",  
6/5/1981,"49,000",  
6/6/1981,"71,000",  
6/7/1981,"84,000",  
6/8/1981,"89,000",  
6/9/1981,"89,000",  
6/10/1981,"89,000",  
6/11/1981,"84,000",  
6/12/1981,"79,000",  
6/13/1981,"77,000",  
6/14/1981,"75,000",  
6/15/1981,"73,000",  
6/16/1981,"71,000",  
6/17/1981,"70,000",  
6/18/1981,"71,000",  
6/19/1981,"72,000",  
6/20/1981,"72,000",  
6/21/1981,"70,000",  
6/22/1981,"66,000",  
6/23/1981,"62,000",  
6/24/1981,"57,000",  
6/25/1981,"54,000",  
6/26/1981,"52,000",  
6/27/1981,"48,000",  
6/28/1981,"41,000",  
6/29/1981,"36,000",  
6/30/1981,"34,000",  
7/1/1981,"30,000",  
7/2/1981,"27,000",  
7/3/1981,"24,000",  
7/4/1981,"22,000",  
7/5/1981,"22,000",  
7/6/1981,"24,000",  
7/7/1981,"30,000",  
7/8/1981,"36,000",  
7/9/1981,"35,000",  
7/10/1981,"34,000",  
7/11/1981,"34,000",  
7/12/1981,"35,000",  
7/13/1981,"33,000",  
7/14/1981,"30,000",  
7/15/1981,"28,000",  
7/16/1981,"27,000",  
7/17/1981,"23,000",  
7/18/1981,"20,000",  
7/19/1981,"17,000",  
7/20/1981,"15,000",  
7/21/1981,"14,000",  
7/22/1981,"12,000",  
7/23/1981,"12,000",  
7/24/1981,"11,000",  
7/25/1981,"11,000",  
7/26/1981,"11,000",  
7/27/1981,"11,000",  
7/28/1981,"11,000",  
7/29/1981,"11,000",  
7/30/1981,"9,500",  
7/31/1981,"8,800",  
8/1/1981,"8,300",  
8/2/1981,"8,100",  
8/3/1981,"7,500",  
8/4/1981,"7,400",  
8/5/1981,"7,700",  
8/6/1981,"8,000",  
8/7/1981,"7,700",  
8/8/1981,"7,000",  
8/9/1981,"6,500",  
8/10/1981,"5,900",  
8/11/1981,"5,800",  
8/12/1981,"6,000",  
8/13/1981,"6,300",  
8/14/1981,"6,200",  
8/15/1981,"5,900",  
8/16/1981,"5,700",  
8/17/1981,"5,200",  
8/18/1981,"4,600",  
8/19/1981,"4,500",  
8/20/1981,"4,900",  
8/21/1981,"5,300",  
8/22/1981,"5,500",  
8/23/1981,"5,600",  
8/24/1981,"5,600",  
8/25/1981,"4,900",  
8/26/1981,"4,600",  
8/27/1981,"4,400",  
8/28/1981,"4,500",  
8/29/1981,"5,400",  
8/30/1981,"6,400",  
8/31/1981,"6,700",  
9/1/1981,"7,000",  
9/2/1981,"7,000",  
9/3/1981,"7,300",  
9/4/1981,"7,500",  
9/5/1981,"7,900",  
9/6/1981,"8,000",  
9/7/1981,"7,700",  
9/8/1981,"7,800",  
9/9/1981,"8,000",  
9/10/1981,"7,700",  
9/11/1981,"6,900",  
9/12/1981,"6,300",  
9/13/1981,"5,800",  
9/14/1981,"5,100",  
9/15/1981,"5,200",  
9/16/1981,"5,400",  
9/17/1981,"5,300",  
9/18/1981,"5,300",  
9/19/1981,"5,100",  
9/20/1981,"5,000",  
9/21/1981,"5,400",  
9/22/1981,"5,600",  
9/23/1981,"5,000",  
9/24/1981,"5,000",  
9/25/1981,"4,900",  
9/26/1981,"4,600",  
9/27/1981,"4,300",  
9/28/1981,"3,700",  
9/29/1981,"3,400",  
9/30/1981,"3,700",  
10/1/1981,"4,100",  
10/2/1981,"4,100",  
10/3/1981,"4,100",  
10/4/1981,"4,200",  
10/5/1981,"4,700",  
10/6/1981,"5,200",  
10/7/1981,"5,500",  
